,store,sido,gungu,store_address,_merge
0,강원홍천군홍천점,강원도,홍천군,강원 홍천군 홍천읍 갈마로,both
1,강원홍천군시동점,강원도,홍천군,강원 홍천군 남면 시동안로,both
2,강원홍천군대명비발디점,강원도,홍천군,강원 홍천군 서면 한치골길,both
3,강원양구군방산점,강원도,양구군,강원 양구군 방산면 장거리길,both
4,강원양구군동면점,강원도,양구군,강원 양구군 동면 금강산로,both
5,강원양구군양구점,강원도,양구군,강원 양구군 양구읍 중앙길,both
6,강원춘천시석사점,강원도,춘천시,강원 춘천시 우석로,both
7,강원춘천시퇴계점,강원도,춘천시,강원 춘천시 춘주로,both
8,강원춘천시교동후평점,강원도,춘천시,강원 춘천시 성심로,both
9,강원춘천시효자점,강원도,춘천시,강원 춘천시 서부대성로,both
10,강원춘천시칠전송암점,강원도,춘천시,강원 춘천시 옛경춘로,both
11,강원춘천시강북점,강원도,춘천시,강원 춘천시 충열로,both
12,강원인제군신남점,강원도,인제군,강원 인제군 남면 신남로,both
13,강원인제군인제점,강원도,인제군,강원 인제군 인제읍 인제로,both
14,강원인제군서화점(B),강원도,인제군,강원 인제군 서화면 천도로,both
15,강원인제군현리점,강원도,인제군,강원 인제군 기린면 내린천로,both
16,강원화천군산양리점,강원도,화천군,강원 화천군 상서면 영서로,both
17,강원화천군다목리점,강원도,화천군,강원 화천군 상서면 수피령로,both
18,강원화천군화천점,강원도,화천군,강원 화천군 화천읍 중앙,both
19,강원화천군사내점,강원도,화천군,강원 화천군 사내면 사내로,both
20,강원강릉시포남1점,강원도,강릉시,강원 강릉시 가작로,both
21,강원강릉시초당점,강원도,강릉시,강원 강릉시 초당원길,both
22,강원강릉시내곡점,강원도,강릉시,강원 강릉시 범일로,both
23,강원강릉시홍제점,강원도,강릉시,강원 강릉시 홍제로,both
24,강원강릉시솔올점,강원도,강릉시,강원 강릉시 원대로,both
25,강원강릉시입암점,강원도,강릉시,강원 강릉시 강변로,both
26,강원강릉시사천해변점,강원도,강릉시,강원 강릉시 사천면 진리해변길,both
27,강원강릉시주문진점,강원도,강릉시,강원 강릉시 주문진읍 주문로,both
28,강원영월군영월점,강원도,영월군,강원 영월군 영월읍 은행나무길,both
29,강원원주시단계점,강원도,원주시,강원 원주시 원문로,both
30,강원원주시명륜점,강원도,원주시,강원 원주시 남산로,both
31,강원원주시단관점,강원도,원주시,강원 원주시 단관초교길,both
32,강원원주시문막점,강원도,원주시,강원 원주시 문막읍 건등로,both
