,store,sido,gungu,store_address
0,가락2점,서울,송파구,서울 송파구 가락2동 190-7번지  1층
1,가락점,서울,송파구,서울 송파구 가락동 90-3
2,가산디지털단지점(올리브카페),서울특별시,금천구,서울특별시 금천구 디지털로 210 (가산동) 
3,가산점,서울,금천구,서울 금천구 가산동  152-16
4,가양역점(치킨앤비어),서울특별시,강서구,"서울특별시 강서구 양천로 476 (등촌동, 금부빌딩) 1층7호"
5,가양점,서울특별시,강서구,"서울특별시 강서구 강서로 497 (가양동, 학원빌딩) 1층"
6,가평북면점,경기도,가평군,경기도 가평군 북면 화악산로 18 1층
7,가평설악점,경기,가평군,경기 가평군 설악면 신천리 462-14
8,가평점(2)(올리브카페),경기도,가평군,경기도 가평군 가평읍 보납로6번길 5 (다솜어린이집) 1층
9,가평현리점(2)(올리브치킨),경기도,가평군,경기도 가평군 조종면 현창로 68 
10,강남고속버스터미널점,서울특별시,서초구,"서울특별시 서초구 신반포로 194 강남고속버스터미널 (반포동,본관지층)"
11,강남대점,경기도,용인시,"경기도 용인시 기흥구 강남동로 12 (구갈동) 108, 109호"
12,강남세곡점(cafe),서울특별시,강남구,"서울특별시 강남구 헌릉로 569 (세곡동) 101(세곡동,강남리더스프라자)"
13,강릉교동점,강원,강릉시,강원 강릉시 화부산로 118
14,강릉교동택지점(치킨앤비어),강원도,강릉시,강원도 강릉시 교동광장로100번길 20 1층(교동)
15,강릉성덕점,강원도,강릉시,강원도 강릉시 월대산로 64 (입암동) (입암동)
16,강북스타2호점,서울특별시,강북구,서울특별시 강북구 오현로32길 3 
17,강북스타3호점,서울특별시,강북구,"서울특별시 강북구 삼양로27길 43 (미아동, 위브 테라 1층 111호"
18,강북스타점,서울특별시,강북구,서울특별시 강북구 한천로 992 
19,강서지사점(express)(2),부산광역시,강서구,부산광역시 강서구 과학산단로334번다길 39 (지사동) 
20,강선점,경기,고양시,경기 고양시 일산서구 주엽동 83 강선마을 상가동1층
21,강원간성점,강원,고성군,강원 고성군 간성읍 신안리 162-2
22,강원거진점(올리브치킨)(2),강원도,고성군,강원도 고성군 거진읍 거진길 30-1 
23,강원양구점,강원,양구군,강원 양구군 양구읍 상리 273-3
24,강원양양점,강원,양양군,강원 양양군 양양읍 남문1리 97-3번지
25,강원인제점,강원,인제군,강원 인제군 인제읍 상동리 347-1
26,강원태백점,강원,태백시,강원 태백시 황지동 215-7
27,강원홍천점,강원도,홍천군,강원도 홍천군 홍천읍 홍천로3길 15 
28,강일지구점,서울특별시,강동구,"서울특별시 강동구 아리수로93길 27 202(강일동,,2강일타워2층202호~203호)"
29,강화세광점,인천,강화군,인천 강화군 선원면 창리 642-1
30,강화점,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로 358 (전원표구화 
31,개봉역점,서울특별시,구로구,"서울특별시 구로구 개봉로23가길 76 107(개봉동,한마음프라자)"
32,개봉점,서울,구로구,서울 구로구 개봉동 329-13
33,개포2점,서울,강남구,서울 강남구 개포동 141번지 개포주공1단지상가 가상가 101동 2호
34,개포동역점(올리브치킨),서울특별시,강남구,"서울특별시 강남구 개포로 512 (개포동, 개포종합상가 1층 108호"
35,개포스타점,서울특별시,강남구,서울특별시 강남구 논현로12길 19-9 (개포동) 
36,개포점(올리브치킨)(2),서울특별시,강남구,"서울특별시 강남구 개포로 250 (개포동, 선광빌딩) 1층 101호"
37,거여점,서울,송파구,서울 송파구 거여동 343-4 송파공고옆
38,거제고현점,경남,거제시,경남 거제시 고현동 1035-6
39,거제삼성점,경상남도,거제시,"경상남도 거제시 장평4로 57 (장평동, 그린피아) 101호"
40,거제상동점,경남,거제시,경남 거제시 상동동 931-18 상가동 102호 
41,거제수월수양점(올리브카페),경상남도,거제시,경상남도 거제시 수양로 432 (수월동) 
42,거제아주점(Cafe),경상남도,거제시,경상남도 거제시 아주1로1길 42-1 (아주동) 1층
43,거제옥포점,경상남도,거제시,경상남도 거제시 성산로1길 2 (옥포동) 1층
44,거제장승포점(올리브치킨),경상남도,거제시,경상남도 거제시 두모길 5 1층(두모동)
45,거제중곡점,경상남도,거제시,경상남도 거제시 중곡로1길 28-4 (고현동) 1층(고현동)
46,경기광주2호점(cafe),경기,광주시,경기 광주시 탄벌동 765 경남아파트상가비동103호
47,경기광주쌍동점(3)(올리브카페),경기도,광주시,경기도 광주시 초월읍 경충대로 1081-36 104호
48,경기광주역점(올리브카페),경기도,광주시,경기도 광주시 장지1길 19 (장지동) 1층
49,경기광주중앙점,경기도,광주시,경기도 광주시 중앙로 150 (경안동) 
50,경기광주태전점,경기도,광주시,경기도 광주시 태봉로 23 (태전동) 
51,경기광주퇴촌점,경기,광주시,경기 광주시 퇴촌면 광동리 173-7
52,경기능골점,경기,광주시,경기 광주시 오포읍 능평리 174-33
53,경기사강점,경기도,화성시,경기도 화성시 송산면 사강로 159 106호~107호
54,경기양벌리점,경기,광주시,경기 광주시 오포읍 양벌리 561-1
55,경기양평점,경기도,양평군,경기도 양평군 양평읍 관문길 57 
56,경남거창점,경남,거창군,경남 거창군 거창읍 중앙리 1~335 334-4번지
57,경남고성점,경남,고성군,경남 고성군 고성읍 서외리 224-6 상우궁전빌라 101
58,경남금산점,경남,진주시,경남 진주시 금산면 중천리 408-4
59,경남산청점(4),경상남도,산청군,경상남도 산청군 산청읍 웅석봉로 38-1 
60,경남안의점1,경남,함양군,경남 함양군 안의면 당본리 21-1번지
61,경남영산점,경상남도,창녕군,경상남도 창녕군 영산면 영산새싹길 28 
62,경남원지점,경남,산청군,경남 산청군 신안면 하정리 929-2
63,경남진교점,경남,하동군,경남 하동군 진교면 진교리 426-77
64,경남진영2점(cafe),경남,김해시,경남 김해시 진영읍 여래리 700-187번지
65,경남창녕점,경남,창녕군,경남 창녕군 창녕읍 교하리 46-2
66,경남칠원점,경남,함안군,경남 함안군 칠원면 용산리 39-2
67,경남하동점,경상남도,하동군,경상남도 하동군 하동읍 경서대로 156 
68,경남함안점,경남,함안군,경남 함안군 가야읍 말산리 487-5
69,경남함양점,경남,함양군,경남 함양군 함양읍 용평리 720-15
70,경남합천점(올리브카페),경상남도,합천군,경상남도 합천군 합천읍 충효로3길 3 2층
71,경북고령점,경북,고령군,경북 고령군 고령읍 쾌빈리 483-1
72,경북봉화점,경상북도,봉화군,경상북도 봉화군 내성로1길 47 
73,경북북삼로뎀점,경상북도,칠곡군,경상북도 칠곡군 북삼읍 북삼로 11길 8
74,경북성주가천점,경북,성주군,경북 성주군 가천면 창천리 518-1
75,경북신도청점,경상북도,예천군,경상북도 예천군 호명면 양지4길 4 
76,경북영주가흥점,경상북도,영주시,경상북도 영주시 대학로 207 (가흥동) 101호
77,경북영주점,경상북도,영주시,"경상북도 영주시 선비로 206-1 (영주동, 호산나음악학 bbq올리브카페"
78,경북영주휴천점,경북,영주시,경북 영주시 조암동 1187-35
79,경북예천점(올리브치킨),경상북도,예천군,경상북도 예천군 예천읍 중앙로 74 (예천성인콜라텍) 
80,경산사동점,경북,경산시,경북 경산시 사동 652-8
81,경산옥산1점,경북,경산시,경북 경산시 옥산동 865번지
82,경산옥산점,경북,경산시,경북 경산시 정평동 138-6 우방상가 103-106호
83,경산진량점,경상북도,경산시,경상북도 경산시 진량읍 공단1로 2 
84,경산하양점,경상북도,경산시,경상북도 경산시 하양읍 대경로 655 1층
85,경주건천점,경상북도,경주시,경상북도 경주시 건천읍 대경로 3977 
86,경주금장점(올리브치킨),경상북도,경주시,경상북도 경주시 현곡면 안현로 68-7 (새한센시빌아파 산가동 109호
87,경주나아점,경상북도,경주시,경상북도 경주시 양남면 나아5길 10-5 
88,경주대명리조트(특화),경상북도,경주시,"경상북도 경주시 보문로 402-12 (신평동, 대명리조트) "
89,경주동천점,경북,경주시,경북 경주시 동천동 817-3
90,경주불국사점,경북,경주시,경북 경주시 진현동 611-114
91,경주성건점,경상북도,경주시,경상북도 경주시 금성로 385 (성건동) 
92,경주안강점(치킨앤비어),경상북도,경주시,경상북도 경주시 안강읍 구부랑4길 11 
93,경주외동점,경북,경주시,경북 경주시 외동읍 입실1리 1016-8
94,경주용강점,경상북도,경주시,"경상북도 경주시 다불로 49 (용강동, 삼환나우빌) ,5(용강동,삼환나우빌상가)"
95,경주충효이안점(올리브카페),경상북도,경주시,경상북도 경주시 충효천길 263-10 (충효동) 1층
96,경주충효점,경상북도,경주시,경상북도 경주시 충효4길  9-1(충효동)
97,경주황성2호점(올리브카페),경상북도,경주시,경상북도 경주시 용담로116번길(황성동) 
98,경주황성점,경북,경주시,경북 경주시 황성동 277-4
99,경희궁자이점,서울,종로구,서울 종로구 무악동 45-304
100,계산역점,인천광역시,계양구,인천광역시 계양구 경명대로 1091 (계산동) 에이동 1층
101,고덕점,서울,강동구,서울 강동구 고덕1동 645-8번지
102,고색행복점,경기도,수원시,경기도 수원시 권선구 매송고색로 701 (고색동) 
103,고성대진점,강원,고성군,강원 고성군 현내면 대진리 111-7
104,고양관산동점,경기도,고양시,경기도 고양시 덕양구 통일로768번길 19 (관산동) 1층 104호
105,고양원당점(cafe),경기,고양시,경기 고양시 덕양구 성사동 720-1번지
106,고양원흥점(2)(express),경기도,고양시,"경기도 고양시 덕양구 삼원로 102 (원흥동, 엘에이치 상가동 105호"
107,고양점,경기도,고양시,"경기도 고양시 덕양구 혜음로 103 (고양동, 신성프라 104호"
108,고양행신가람점,경기도,고양시,경기도 고양시 덕양구 행신로 351-9 (행신동) 1층
109,고잔신도시점,경기도,안산시,"경기도 안산시 상록구 해양1로 15 (사동, 안산고잔6차 104,105호"
110,고창본점,전북,고창군,전북 고창군 고창읍 읍내리 197-8
111,고척점,서울특별시,구로구,서울특별시 구로구 경인로47다길 10 (고척동) 
112,고흥거금도점,전남,고흥군,전남 고흥군 금산면 거금중앙길 137
113,곤지암리조트점,경기도,광주시,경기도 광주시 도척면 도척윗로 278 
114,곤지암점,경기,광주시,경기 광주시 실촌면 곤지암리 453-48번지
115,공도청설점(3)(올리브카페),경기도,안성시,경기도 안성시 공도읍 진건중길 45 110호
116,공릉점,서울특별시,노원구,서울특별시 노원구 공릉로 199 103(공릉동)
117,공주신관점,충남,공주시,충남 공주시 금흥동 현대4차A상가 104호
118,공주옥룡점,충남,공주시,충남 공주시 옥룡동 330-1
119,공주이인점,충남,공주시,충남 공주시 이인면 이인리 159-5
120,공항점,서울,강서구,서울 강서구 공항동 41-44번지
121,과천부림점,경기,과천시,경기 과천시 부림동 20-1 일반상가 6호
122,과천점,경기,과천시,경기 과천시 별양동 1-3  제일상가 2층 204호
123,관저구봉점(올리브치킨),대전광역시,서구,"대전광역시 서구 관저로 48 분산상가동 103호(관저동, 구봉마을7단지)"
124,광교도청점,경기도,수원시,"경기도 수원시 영통구 도청로89번길 31 이의동, 지타워101호"
125,광교상현점(직영)(프리미엄),경기도,용인시,"경기도 용인시 수지구 법조로 242 1층 101호, 201호(상현동, 광교파크프라자)"
126,광나루점(Cafe),서울특별시,광진구,"서울특별시 광진구 광나루로 595 (광장동, 광장자이아 광장자이아파트상가 5호"
127,광명본점,경기,광명시,경기 광명시 광명7동 720-5   1층
128,광명소하점,경기,광명시,경기 광명시 소하동 1323-1 103
129,광명소하점(치킨앤비어),경기도,광명시,경기도 광명시 성채로50번길 9-12 101 (소하동)
130,광명역점(올리브치킨),경기도,광명시,경기도 광명시 일직로12번길 11 (일직동) 1층 4호
131,광명철산점,경기,광명시,경기 광명시 철산동 241-2 바상가106호
132,광명철산푸르지오,경기도,광명시,"경기도 광명시 디지털로 24 (철산동, 철산푸르지오하 113동B125호"
133,광명하안3점(8),서울,금천구,서울 금천구 독산동 1100-3번지
134,광명하안점,경기도,광명시,"경기도 광명시 가림로 54-11 (하안동, 하안주공아파트 일반상가 107호)"
135,광명하안중앙점(4),경기도,광명시,"경기도 광명시 하안로 293-10 (하안동, 정산빌딩) "
136,광양덕례점,전남,광양시,전남 광양시 광양읍 구산리 848-23 
137,광양용강점(올리브카페),전라남도,광양시,전라남도 광양시 광양읍 와룡길 30-1 
138,광양중동점,전라남도,광양시,전라남도 광양시 광장1길 21 (중동) 
139,광양중마점,전남,광양시,전남 광양시 중동 1540-11
140,광장점,서울특별시,광진구,서울특별시 광진구 구의로16길 89 (구의동) 1층
141,광주금호점,광주광역시,서구,"광주광역시 서구 금화로115번길 25 (금호동, 한국2차 도시공사2단지상가동102호"
142,광주도척점,경기도,광주시,경기도 광주시 도척면 노곡로 19 (1층)
143,광주도평리점,경기도,광주시,경기도 광주시 초월읍 현산로 106 
144,광주마재점,광주광역시,서구,"광주광역시 서구 화개중앙로 55 (금호동,1층)"
145,광주매곡점,광주광역시,북구,광주광역시 북구 서하로 96 (매곡동) 1층
146,광주목포연산점,전남,목포시,전남 목포시 산정동 1778-16
147,광주백운점(express),광주광역시,남구,광주광역시 남구 백운로 91-2 (백운동) 104(1층)
148,광주봉선점,광주광역시,남구,광주광역시 남구 봉선중앙로 3 
149,광주상무점,광주광역시,서구,"광주광역시 서구 상무중앙로 57 (치평동, 상무중흥S클 "
150,광주송정점,광주광역시,광산구,광주광역시 광산구 광산로 5-1 (송정동) .
151,광주송정점(올리브카페),경기도,광주시,경기도 광주시 광주대로224번길 1 (송정동) 1층 3호
152,광주수완신가점(올리브카페),광주광역시,광산구,"광주광역시 광산구 수등로76번길 15 (신가동, 스타빌) 1층"
153,광주수완장덕점(P-cafe)(3),광주광역시,광산구,광주광역시 광산구 풍영로 277 (장덕동) 1층
154,광주수완점,광주광역시,광산구,광주광역시 광산구 장신로 135 (수완동) 1층 109호
155,광주신창행운점,광주광역시,광산구,광주광역시 광산구 왕버들로251번길 14 (신창동) 1층
156,광주쌍촌점,광주광역시,서구,광주광역시 서구 내방로240번길 5 (쌍촌동) 1층
157,광주영암점,전남,영암군,전남 영암군 영암읍 서남리 66-1번지
158,광주용두점,광주,북구,광주 북구 양산동 910
159,광주용봉비엔날레점(cafe),광주,북구,광주 북구 용봉동 1091-4번지 엠타워 103호
160,광주운남점,광주,광산구,광주 광산구 운남동 목련로 153번길 31 1층
161,광주운암점(Cafe),광주,북구,광주 북구 운암동 959-2 1층
162,"광주일곡점(타변,올리브치킨)(2)",광주광역시,북구,광주광역시 북구 송해로 72 1층(일곡동)
163,광주진월점,광주,남구,광주 남구 진월동 412-5번지
164,광주첨단2지구점,광주광역시,북구,"광주광역시 북구 첨단연신로 250 (신용동, 첨단휴먼시 신용동,휴먼시아상가동2층203호"
165,광주첨단금호점,광주,광산구,광주 광산구 월계동 756-6 라인5차아파트 상가-101
166,광주첨단월계점,광주,광산구,광주 광산구 월계동 813-9
