,store,sido,gungu,store_address,_merge
0,수안점,부산광역시,동래구,"부산광역시 동래구 충렬대로218번길 26, 비동 1층(수안동)",both
1,명륜점,부산광역시,동래구,"부산광역시 동래구 시실로 50-4, 1층(명륜동,광일빌딩)",both
2,명장2호점,부산광역시,동래구,"부산광역시 동래구 반송로 339번길 8, 1동 101호(명장동,협진태양아파트상가)",both
3,온천장본점,부산광역시,동래구,부산광역시 동래구 금강로 90(온천동),both
4,미남점,부산광역시,동래구,"부산광역시 동래구 여고북로 109 (온천동,1층)",both
5,사직국민시장점,부산광역시,동래구,"부산광역시 동래구 사직북로 63번길 33-1,1층(사직동)",both
6,사직운동장점,부산광역시,동래구,"부산광역시 동래구 여고로 7, 1층(사직동)",both
7,안락점,부산광역시,동래구,부산광역시 동래구 충렬대로 428번길 50(안락동),both
8,오전점,경기도,의왕시,"경기도 의왕시 등칙골4길 14, 1층 103호(오전동)",both
9,부곡점,경기도,의왕시,경기도 의왕시 삼동 150-16,both
10,포일내손점,경기도,의왕시,경기도 의왕시 내손동652-15,both
11,남항점,부산광역시,영도구,"부산광역시 영도구 남항로19번길 38, 1층(남항동1가)",both
12,동삼점,부산광역시,영도구,부산광역시 영도구 동삼로 77(동삼동),both
13,청학점,부산광역시,영도구,"부산광역시 영도구 청학로 32, 4층 2호(청학동)",both
14,화정점,울산광역시,동구,울산광역시 동구 대송8길 31(화정동),both
15,남목점,울산광역시,동구,울산 동구 미포2길 50(동부동),both
16,전하1호점,울산광역시,동구,"울산광역시 동구 전하로 8, 1층(전하동",both
17,일산점,울산광역시,동구,울산광역시 동구 방어진순환도로 709(일산동),both
18,방어진점,울산광역시,동구,울산광역시 동구 동진2길 17(방어동),both
19,청북점,경기도,평택시,경기도 평택시 청북읍 안청로4길 42,both
20,소사벌점,경기도,평택시,경기도 평택시 비전동 1053,both
21,비전점,경기도,평택시,경기도 평택시 중앙로235 (비전동),both
22,동삭점,경기도,평택시,"경기도 평택시 동삭로 397 상가동 104,105호",both
23,태평,경기도,평택시,경기도 평택시 고덕면 궁리 75,both
24,팽성,경기도,평택시,경기도 평택시 팽성읍 송화리779-3,both
25,평택세교,경기도,평택시,경기도 평택시 세교2로 45 상가 109,both
26,장안점,경기도,평택시,경기도 평택시 추담로 58-78 상가동 107호,both
27,현대,경기도,평택시,경기도 평택시 이충동 381 현대상가 103호,both
28,서정1호점,경기도,평택시,경기도 평택시 서정동 871-19,both
29,지산서정점,경기도,평택시,경기도 평택시 서정동 799-2,both
30,포승,경기도,평택시,경기도 평택시 포승읍 도곡리 1121-6,both
31,안중,경기도,평택시,경기도 평택시 안중읍 안중로18번길 2-19,both
32,오산운암점,경기도,오산시,경기도 오산시 원동로6 (원동),both
33,고현,경기도,오산시,경기도 오산시 고현동 17,both
34,누읍,경기도,오산시,경기도 오산시 누읍로 20 104호,both
35,궐동,경기도,오산시,경기도 오산시 궐동 673-1 1층 (616-6),both
36,오산세교,경기도,오산시,경기도 오산시 수청동 8-1  10블럭(세교상업택지),both
37,은계,경기도,오산시,경기도 오산시 은계동 33-3,both
38,팔판점,경상남도,김해시,"경상남도 김해시 계동로23번길 5, 1층 111호(관동동, 대우프라자)",both
39,삼안점,경상남도,김해시,경상남도 김해시 삼안로 131번길 8-4(삼방동),both
40,부곡월산점,경상남도,김해시,"경상남도 김해시 월산로 111-67,1 1층 105호(부곡동, 신화프라자)",both
41,칠산점,경상남도,김해시,경상남도 김해시 칠산로 399번길 8(화목동),both
