매장이름,시도정보,시군구정보,매장주소
수안점,부산광역시,동래구,"부산광역시 동래구 충렬대로218번길 26, 비동 1층(수안동)"
오전점,경기도,의왕시,"경기도 의왕시 등칙골4길 14, 1층 103호(오전동)"
남항점,부산광역시,영도구,"부산광역시 영도구 남항로19번길 38, 1층(남항동1가)"
화정점,울산광역시,동구,울산광역시 동구 대송8길 31(화정동)
청북점,경기도,평택시,경기도 평택시 청북읍 안청로4길 42
오산운암점,경기도,오산시,경기도 오산시 원동로6 (원동)
팔판점,경상남도,김해시,"경상남도 김해시 계동로23번길 5, 1층 111호(관동동, 대우프라자)"
망양점,울산광역시,울주군,울산광역시 울주군 온양읍 덕망로 270
우정점,울산광역시,중구,울산광역시 중구 우암길 1(우정동)
와동점,경기도,안산시,경기도 안산시 단원구 화정천동로 2안길 28
성안점,울산광역시,중구,"울산광역시 중구 함월16길 13-1, 1층 (성안동)"
선암점,울산광역시,남구,"울산광역시 남구 두왕로 174번길 35-1, 1층(선암동)"
대화점,경기도,고양시,"경기 고양시 일산서구 강성로 271 (대화동,대화씨티빌 101호)"
갈매점,경기도,구리시,"경기도 구리시 갈애순환로 198, 1층 101호(갈매동, 비젼프라자)"
신주례점,부산광역시,사상구,부산광역시 사상구 백양대로 502(주례동)
서창2점,인천광역시,남동구,인천광역시 남동구 서창동 707-3
신안평거점,경상남도,진주시,"경남 진주시 신평공원길 25번길 8-4,1층"
봉곡사림점,경상남도,창원시,"경남 창원시 의창구 봉곡로 50,1층(봉곡동)"
석동점,경상남도,창원시,"경남 창원시 진해구 진해대로 886번길 20,1층(석동)"
옥정1호점,경기도,양주시,경기도 양주시 옥정동로 173 레이크프라자 107호
인천장기점,인천광역시,계양구,인천광역시 계양구 장기로 29 (장기동)
구로점,서울특별시,구로구,서울특별시 구로구 구로동로 213
헬리오시티점,서울특별시,송파구,서울시 송파구 가락로 16길 2-26 (석촌동)
남동탄점,경기도,화성시,경기도 화성시 동탄대로4길95 (장지동)
구서점,부산광역시,금정구,"부산광역시 금정구 금강로 563, 1층(구서동)"
국제신도시점,부산광역시,강서구,"부산광역시 강서구 명지국제5로 14, 1층 101호(명지동, 서진빌딩)"
평창점,강원도,평창군,강원도 평창군 평창읍 백오1길 33
여주교동점,경기도,여주시,경기도 여주시 세종로 254-16 (교동)
도원점,대구광역시,달서구,대구광역시 달서구 도원남로56 산새마을 분산상가 1층 103호
좌동상록점,부산광역시,해운대구,"부산광역시 해운대구 세실로 7, 104호(좌동, 해운대상록아파트상가)"
구남역점,부산광역시,북구,부산광역시 북구 백양대로 1015번길 15(구포동)
이천점,경기도,이천시,경기도 이천시 관고동 12-4
부곡점,부산광역시,금정구,부산광역시 금정구 동현로 23(부곡동)
